responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,hand,device,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
20028,1.0,1.0,7.0,27.0,939.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
20089,1.0,1.0,7.0,27.0,939.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
20151,1.0,1.0,7.0,27.0,939.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
20214,1.0,1.0,7.0,27.0,939.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
20276,1.0,1.0,7.0,27.0,942.0,170.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
20336,1.0,1.0,7.0,27.0,960.0,173.0," Guma?), ",151.56666564941406,893.566650390625,171.56666564941406,968.6166534423828,,,,,,,37,37
20397,1.0,1.0,7.0,28.0,978.0,174.0, e ,151.56666564941406,968.61669921875,171.56666564941406,983.6333618164062,,,,,,,37,37
20458,1.0,1.0,7.0,29.0,1007.0,174.0, miratonte ,151.56666564941406,983.63330078125,171.56666564941406,1063.699966430664,,,,,,,37,37
20519,1.0,1.0,7.0,29.0,1016.0,174.0, miratonte ,151.56666564941406,983.63330078125,171.56666564941406,1063.699966430664,,,,,,,37,37
20580,1.0,1.0,7.0,-1.0,1027.0,175.0,,,,,,,,,,,,37,37
20641,1.0,1.0,7.0,-1.0,1034.0,175.0,,,,,,,,,,,,37,37
20702,1.0,1.0,7.0,-1.0,1040.0,175.0,,,,,,,,,,,,37,37
20764,1.0,1.0,7.0,-1.0,1046.0,175.0,,,,,,,,,,,,37,37
20825,1.0,1.0,7.0,-1.0,1049.0,175.0,,,,,,,,,,,,37,37
20888,1.0,1.0,7.0,-1.0,1050.0,175.0,,,,,,,,,,,,37,37
20950,1.0,1.0,7.0,-1.0,1050.0,175.0,,,,,,,,,,,,37,37
21012,1.0,1.0,7.0,-1.0,1051.0,175.0,,,,,,,,,,,,37,37
21075,1.0,1.0,7.0,30.0,1067.0,173.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21137,1.0,1.0,7.0,30.0,1076.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21198,1.0,1.0,7.0,30.0,1077.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21259,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21323,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21384,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21446,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21509,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21571,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21633,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21696,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21758,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21820,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21882,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
21943,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22007,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22070,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22135,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22197,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22259,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22321,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22384,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22446,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22508,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22571,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22633,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22697,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22759,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22820,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22883,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
22946,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23008,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23072,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23134,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23196,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23260,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23322,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23384,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23448,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23511,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23574,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23636,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23700,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23763,1.0,1.0,7.0,30.0,1078.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23825,1.0,1.0,7.0,30.0,1079.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23886,1.0,1.0,7.0,30.0,1083.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
23947,1.0,1.0,7.0,30.0,1086.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
24008,1.0,1.0,7.0,30.0,1088.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
24071,1.0,1.0,7.0,30.0,1091.0,170.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
24133,1.0,1.0,7.0,-1.0,1094.0,170.0,,,,,,,,,,,,37,37
24194,1.0,1.0,7.0,-1.0,1096.0,169.0,,,,,,,,,,,,37,37
24254,1.0,1.0,7.0,-1.0,1096.0,169.0,,,,,,,,,,,,37,37
24316,1.0,1.0,7.0,-1.0,1096.0,169.0,,,,,,,,,,,,37,37
24380,1.0,1.0,7.0,30.0,1082.0,169.0, apo ,151.56666564941406,1063.699951171875,171.56666564941406,1093.7499542236328,,,,,,,37,37
24441,1.0,1.0,7.0,-1.0,740.0,183.0,,,,,,,,,,,,37,37
24502,1.0,1.0,7.0,-1.0,582.0,189.0,,,,,,,,,,,,37,37
24563,1.0,1.0,7.0,-1.0,577.0,188.0,,,,,,,,,,,,37,37
24624,1.0,1.0,7.0,-1.0,572.0,188.0,,,,,,,,,,,,37,37
24686,1.0,1.0,7.0,-1.0,555.0,191.0,,,,,,,,,,,,37,37
24747,1.0,1.0,7.0,33.0,530.0,195.0, farë ,191.5666656494141,514.2833251953125,211.5666656494141,550.316650390625,,,,,,,37,37
24807,1.0,1.0,7.0,32.0,486.0,206.0, një ,191.5666656494141,485.25,211.5666656494141,514.2833404541016,,,,,,,37,37
24869,1.0,1.0,7.0,31.0,458.0,210.0, kishte ,191.5666656494141,433.2166748046875,211.5666656494141,485.25001525878906,,,,,,,37,37
24930,1.0,1.0,7.0,31.0,454.0,210.0, kishte ,191.5666656494141,433.2166748046875,211.5666656494141,485.25001525878906,,,,,,,37,37
24992,1.0,1.0,7.0,31.0,454.0,210.0, kishte ,191.5666656494141,433.2166748046875,211.5666656494141,485.25001525878906,,,,,,,37,37
25055,1.0,1.0,7.0,31.0,454.0,210.0, kishte ,191.5666656494141,433.2166748046875,211.5666656494141,485.25001525878906,,,,,,,37,37
25117,1.0,1.0,7.0,31.0,454.0,210.0, kishte ,191.5666656494141,433.2166748046875,211.5666656494141,485.25001525878906,,,,,,,37,37
25180,1.0,1.0,7.0,31.0,454.0,210.0, kishte ,191.5666656494141,433.2166748046875,211.5666656494141,485.25001525878906,,,,,,,37,37
25240,1.0,1.0,7.0,31.0,454.0,210.0, kishte ,191.5666656494141,433.2166748046875,211.5666656494141,485.25001525878906,,,,,,,37,37
25301,1.0,1.0,7.0,31.0,455.0,210.0, kishte ,191.5666656494141,433.2166748046875,211.5666656494141,485.25001525878906,,,,,,,37,37
25362,1.0,1.0,7.0,31.0,474.0,210.0, kishte ,191.5666656494141,433.2166748046875,211.5666656494141,485.25001525878906,,,,,,,37,37
25423,1.0,1.0,7.0,32.0,506.0,208.0, një ,191.5666656494141,485.25,211.5666656494141,514.2833404541016,,,,,,,37,37
25484,1.0,1.0,7.0,33.0,523.0,208.0, farë ,191.5666656494141,514.2833251953125,211.5666656494141,550.316650390625,,,,,,,37,37
25546,1.0,1.0,7.0,33.0,527.0,208.0, farë ,191.5666656494141,514.2833251953125,211.5666656494141,550.316650390625,,,,,,,37,37
25607,1.0,1.0,7.0,33.0,530.0,208.0, farë ,191.5666656494141,514.2833251953125,211.5666656494141,550.316650390625,,,,,,,37,37
25671,1.0,1.0,7.0,33.0,546.0,208.0, farë ,191.5666656494141,514.2833251953125,211.5666656494141,550.316650390625,,,,,,,37,37
25731,1.0,1.0,7.0,34.0,556.0,208.0, qesëndisje ,191.5666656494141,550.316650390625,211.5666656494141,641.4166564941406,,,,,,,37,37
25793,1.0,1.0,7.0,34.0,561.0,208.0, qesëndisje ,191.5666656494141,550.316650390625,211.5666656494141,641.4166564941406,,,,,,,37,37
25855,1.0,1.0,7.0,34.0,566.0,207.0, qesëndisje ,191.5666656494141,550.316650390625,211.5666656494141,641.4166564941406,,,,,,,37,37
25916,1.0,1.0,7.0,34.0,572.0,207.0, qesëndisje ,191.5666656494141,550.316650390625,211.5666656494141,641.4166564941406,,,,,,,37,37
25976,1.0,1.0,7.0,34.0,585.0,207.0, qesëndisje ,191.5666656494141,550.316650390625,211.5666656494141,641.4166564941406,,,,,,,37,37
26037,1.0,1.0,7.0,34.0,594.0,208.0, qesëndisje ,191.5666656494141,550.316650390625,211.5666656494141,641.4166564941406,,,,,,,37,37
26099,1.0,1.0,7.0,34.0,602.0,208.0, qesëndisje ,191.5666656494141,550.316650390625,211.5666656494141,641.4166564941406,,,,,,,37,37
26162,1.0,1.0,7.0,34.0,610.0,210.0, qesëndisje ,191.5666656494141,550.316650390625,211.5666656494141,641.4166564941406,,,,,,,37,37
26224,1.0,1.0,7.0,34.0,618.0,210.0, qesëndisje ,191.5666656494141,550.316650390625,211.5666656494141,641.4166564941406,,,,,,,37,37
26285,1.0,1.0,7.0,34.0,634.0,210.0, qesëndisje ,191.5666656494141,550.316650390625,211.5666656494141,641.4166564941406,,,,,,,37,37
26346,1.0,1.0,7.0,35.0,647.0,210.0, të ,191.5666656494141,641.4166870117188,211.5666656494141,661.433349609375,,,,,,,37,37
26410,1.0,1.0,7.0,35.0,658.0,210.0, të ,191.5666656494141,641.4166870117188,211.5666656494141,661.433349609375,,,,,,,37,37
26471,1.0,1.0,7.0,36.0,674.0,211.0, lehtë ,191.5666656494141,661.433349609375,211.5666656494141,705.4833526611328,,,,,,,37,37
26533,1.0,1.0,7.0,36.0,679.0,212.0, lehtë ,191.5666656494141,661.433349609375,211.5666656494141,705.4833526611328,,,,,,,37,37
26595,1.0,1.0,7.0,36.0,687.0,213.0, lehtë ,191.5666656494141,661.433349609375,211.5666656494141,705.4833526611328,,,,,,,37,37
26655,1.0,1.0,7.0,36.0,695.0,214.0, lehtë ,191.5666656494141,661.433349609375,211.5666656494141,705.4833526611328,,,,,,,37,37
26718,1.0,1.0,7.0,-1.0,702.0,216.0,,,,,,,,,,,,37,37
26779,1.0,1.0,7.0,-1.0,705.0,216.0,,,,,,,,,,,,37,37
26839,1.0,1.0,7.0,-1.0,705.0,216.0,,,,,,,,,,,,37,37
26901,1.0,1.0,7.0,-1.0,705.0,216.0,,,,,,,,,,,,37,37
26962,1.0,1.0,7.0,-1.0,705.0,216.0,,,,,,,,,,,,37,37
27024,1.0,1.0,7.0,-1.0,705.0,216.0,,,,,,,,,,,,37,37
27085,1.0,1.0,7.0,-1.0,732.0,216.0,,,,,,,,,,,,37,37
27148,1.0,1.0,7.0,-1.0,751.0,216.0,,,,,,,,,,,,37,37
27209,1.0,1.0,7.0,38.0,768.0,214.0, këtij ,191.5666656494141,744.5333251953125,211.5666656494141,781.5499877929688,,,,,,,37,37
27271,1.0,1.0,7.0,38.0,779.0,214.0, këtij ,191.5666656494141,744.5333251953125,211.5666656494141,781.5499877929688,,,,,,,37,37
27334,1.0,1.0,7.0,39.0,786.0,211.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
27395,1.0,1.0,7.0,39.0,792.0,210.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
27457,1.0,1.0,7.0,39.0,802.0,207.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
27520,1.0,1.0,7.0,39.0,805.0,206.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
27582,1.0,1.0,7.0,39.0,808.0,206.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
27644,1.0,1.0,7.0,39.0,810.0,206.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
27704,1.0,1.0,7.0,39.0,811.0,206.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
27766,1.0,1.0,7.0,39.0,817.0,206.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
27827,1.0,1.0,7.0,39.0,820.0,206.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
27889,1.0,1.0,7.0,39.0,822.0,206.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
27950,1.0,1.0,7.0,39.0,822.0,206.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
28013,1.0,1.0,7.0,39.0,822.0,206.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
28076,1.0,1.0,7.0,39.0,822.0,206.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
28137,1.0,1.0,7.0,39.0,822.0,207.0, udhëtimi. ,191.5666656494141,781.5499877929688,211.5666656494141,854.6166534423828,,,,,,,37,37
29032,,,,,,,,,,,,,,,,,,37,37
780,1.0,1.0,2.0,-1.0,572.0,271.0,,,,,,,,,,,,37,37
841,1.0,1.0,8.0,48.0,560.0,237.0, dëgjuar ,231.5666656494141,538.7166748046875,251.5666656494141,603.8000183105469,,,,,,,37,37
901,1.0,1.0,8.0,-1.0,559.0,226.0,,,,,,,,,,,,37,37
961,1.0,1.0,8.0,34.0,559.0,208.0, shoqet. ,191.5666656494141,534.316650390625,211.5666656494141,598.3833160400391,,,,,,,37,37
1023,1.0,1.0,8.0,-1.0,554.0,182.0,,,,,,,,,,,,37,37
